ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300750.SZ,2023-07-10,223.0,230.0,223.0,228.8,222.25,6.55,2.9471,160938.31,3674535.625
300750.SZ,2023-07-11,229.65,229.99,226.58,229.09,228.8,0.29,0.1267,91587.87,2094183.189
300750.SZ,2023-07-12,228.5,229.4,226.5,226.99,229.09,-2.1,-0.9167,86932.6,1976029.055
300750.SZ,2023-07-13,228.21,235.0,228.21,230.0,226.99,3.01,1.326,222576.72,5166809.846
300750.SZ,2023-07-14,230.15,230.93,226.55,228.28,230.0,-1.72,-0.7478,130040.91,2971007.806
300750.SZ,2023-07-17,227.01,228.0,223.6,225.65,228.28,-2.63,-1.1521,104525.22,2354412.854
300750.SZ,2023-07-18,227.8,227.88,224.5,225.5,225.65,-0.15,-0.0665,85757.76,1934097.474
300750.SZ,2023-07-19,224.0,224.95,218.58,219.5,225.5,-6.0,-2.6608,176001.82,3880774.172
300750.SZ,2023-07-20,219.0,226.69,219.0,221.05,219.5,1.55,0.7062,144416.48,3226693.428
300750.SZ,2023-07-21,220.85,222.98,219.76,221.59,221.05,0.54,0.2443,83935.26,1858027.959
300750.SZ,2023-07-24,217.15,220.88,214.14,218.98,221.59,-2.61,-1.1779,137193.39,2990356.787
300750.SZ,2023-07-25,224.9,227.64,221.02,226.35,218.98,7.37,3.3656,192862.45,4336672.444
300750.SZ,2023-07-26,225.12,227.0,223.66,226.66,226.35,0.31,0.137,154567.86,3484702.635
300750.SZ,2023-07-27,231.0,232.88,226.88,226.98,226.66,0.32,0.1412,208592.35,4786800.628
300750.SZ,2023-07-28,226.98,231.0,225.05,230.05,226.98,3.07,1.3525,188030.95,4304001.295
300750.SZ,2023-07-31,234.0,239.5,233.1,237.75,230.05,7.7,3.3471,299027.54,7103701.375
300750.SZ,2023-08-01,237.4,239.1,234.5,235.5,237.75,-2.25,-0.9464,156151.68,3695389.757
300750.SZ,2023-08-02,237.0,239.49,235.5,236.5,235.5,1.0,0.4246,141471.85,3350493.845
300750.SZ,2023-08-03,236.0,239.97,235.53,239.14,236.5,2.64,1.1163,161805.26,3859823.089
300750.SZ,2023-08-04,245.0,249.96,241.11,245.51,239.14,6.37,2.6637,315696.75,7737835.221
300750.SZ,2023-08-07,244.5,246.94,243.31,246.49,245.51,0.98,0.3992,149277.49,3665507.786
300750.SZ,2023-08-08,245.98,249.33,244.88,247.14,246.49,0.65,0.2637,150666.76,3733050.029
300750.SZ,2023-08-09,245.5,247.68,243.14,247.0,247.14,-0.14,-0.0566,116846.61,2873152.335
300750.SZ,2023-08-10,247.9,251.33,244.12,246.5,247.0,-0.5,-0.2024,140409.64,3469375.411
300750.SZ,2023-08-11,248.95,248.95,241.5,241.5,246.5,-5.0,-2.0284,172040.64,4212036.44
