交易日期,交易类型,成交价,成交股数,成交金额,佣金,印花税,总费用
2023-10-19,初始建仓,144.24,600,86544.0,25.96,0.0,25.96
2023-10-23,止损卖出,108.44,600,65064.0,19.52,65.06,84.58
2023-11-14,初始建仓,153.02,400,61208.0,18.36,0.0,18.36
2023-11-20,加仓(2),165.43,400,66172.0,19.85,0.0,19.85
2023-11-24,止损卖出,142.08,800,113664.0,34.1,113.66,147.76
2024-02-22,初始建仓,139.88,400,55952.0,16.79,0.0,16.79
2024-02-26,加仓(2),151.26,400,60504.0,18.15,0.0,18.15
2024-02-27,加仓(3),168.14,200,33628.0,10.09,0.0,10.09
2024-03-04,加仓(4),177.4,200,35480.0,10.64,0.0,10.64
2024-04-03,信号卖出,162.1,1200,194520.0,58.36,194.52,252.88
2024-05-09,初始建仓,178.11,400,71244.0,21.37,0.0,21.37
2024-05-17,加仓(2),190.83,200,38166.0,11.45,0.0,11.45
2024-06-14,加仓(3),200.01,200,40002.0,12.0,0.0,12.0
2024-06-17,加仓(4),210.99,200,42198.0,12.66,0.0,12.66
2024-08-05,信号卖出,229.69,1000,229690.0,68.91,229.69,298.6
2024-09-30,初始建仓,289.16,200,57832.0,17.35,0.0,17.35
2024-10-08,加仓(2),346.99,200,69398.0,20.82,0.0,20.82
2025-01-16,信号卖出,594.0,400,237600.0,71.28,237.6,308.88
2025-07-25,初始建仓,673.3,200,134660.0,40.4,0.0,40.4
2025-10-10,信号卖出,1247.08,200,249416.0,74.82,249.42,324.24
