ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688256.SH,2023-07-10,195.43,205.0,194.11,196.96,195.43,1.53,0.7829,67465.1,1343084.217
688256.SH,2023-07-11,197.62,218.0,195.35,210.3,196.96,13.34,6.7729,115003.98,2411368.718
688256.SH,2023-07-12,212.01,214.5,195.59,196.29,210.3,-14.01,-6.6619,93959.73,1917407.637
688256.SH,2023-07-13,199.9,204.48,192.18,200.1,196.29,3.81,1.941,96861.71,1924027.828
688256.SH,2023-07-14,205.1,213.6,201.91,206.01,200.1,5.91,2.9535,98343.36,2040119.897
688256.SH,2023-07-17,199.0,210.55,193.86,200.2,206.01,-5.81,-2.8203,80898.77,1623913.164
688256.SH,2023-07-18,196.95,198.93,183.01,185.0,200.2,-15.2,-7.5924,126504.69,2388990.206
688256.SH,2023-07-19,185.0,189.99,182.3,182.37,185.0,-2.63,-1.4216,66188.17,1230412.456
688256.SH,2023-07-20,184.0,184.0,175.33,176.0,182.37,-6.37,-3.4929,86671.3,1552013.553
688256.SH,2023-07-21,172.76,176.13,167.26,170.9,176.0,-5.1,-2.8977,98576.53,1686290.389
688256.SH,2023-07-24,167.5,175.0,166.51,167.16,170.9,-3.74,-2.1884,87741.68,1490250.103
688256.SH,2023-07-25,169.0,172.25,164.0,167.0,167.16,-0.16,-0.0957,90631.93,1520900.524
688256.SH,2023-07-26,171.42,175.75,167.0,169.42,167.0,2.42,1.4491,104380.1,1787902.796
688256.SH,2023-07-27,167.0,168.51,163.41,165.14,169.42,-4.28,-2.5263,64579.94,1069843.586
688256.SH,2023-07-28,162.0,163.35,157.5,160.8,165.14,-4.34,-2.6281,93064.2,1493469.475
688256.SH,2023-07-31,159.54,166.99,156.41,164.01,160.8,3.21,1.9963,77526.68,1270279.584
688256.SH,2023-08-01,164.02,166.49,159.0,164.77,164.01,0.76,0.4634,67097.52,1094123.517
688256.SH,2023-08-02,164.0,169.58,163.01,166.9,164.77,2.13,1.2927,69177.21,1151269.913
688256.SH,2023-08-03,163.5,171.26,161.6,168.21,166.9,1.31,0.7849,67918.32,1141072.222
688256.SH,2023-08-04,168.22,173.57,166.9,172.86,168.21,4.65,2.7644,76789.55,1313793.562
688256.SH,2023-08-07,173.47,177.62,168.97,169.75,172.86,-3.11,-1.7991,67721.69,1168427.419
688256.SH,2023-08-08,169.54,172.33,168.4,169.15,169.75,-0.6,-0.3535,40972.82,697075.571
688256.SH,2023-08-09,167.39,169.8,165.12,165.12,169.15,-4.03,-2.3825,47906.51,797950.248
688256.SH,2023-08-10,164.44,166.39,163.02,164.0,165.12,-1.12,-0.6783,34501.55,567667.68
688256.SH,2023-08-11,164.8,166.0,158.0,158.0,164.0,-6.0,-3.6585,46343.23,749031.063
688256.SH,2023-08-14,156.86,159.59,154.9,159.4,158.0,1.4,0.8861,54589.26,858071.549
688256.SH,2023-08-15,161.52,164.74,158.25,158.57,159.4,-0.83,-0.5207,41583.72,669112.816
688256.SH,2023-08-16,157.01,158.5,152.3,152.8,158.57,-5.77,-3.6388,49949.37,771610.217
688256.SH,2023-08-17,151.95,161.3,151.55,156.94,152.8,4.14,2.7094,66839.13,1055626.952
688256.SH,2023-08-18,159.75,162.0,151.4,151.4,156.94,-5.54,-3.53,49650.38,768025.247
688256.SH,2023-08-21,149.22,156.36,149.22,151.4,151.4,0.0,0.0,39794.82,609719.134
688256.SH,2023-08-22,155.8,158.5,151.17,157.61,151.4,6.21,4.1017,54283.65,840207.856
688256.SH,2023-08-23,155.82,156.0,149.01,150.14,157.61,-7.47,-4.7395,48611.67,732871.374
688256.SH,2023-08-24,153.88,156.49,150.0,150.3,150.14,0.16,0.1066,53143.33,813653.98
688256.SH,2023-08-25,145.77,146.3,139.23,140.52,150.3,-9.78,-6.507,76153.69,1080616.259
688256.SH,2023-08-28,154.0,154.0,142.91,145.1,140.52,4.58,3.2593,69128.25,1011498.812
688256.SH,2023-08-29,145.31,149.2,142.0,145.96,145.1,0.86,0.5927,79729.07,1160084.081
688256.SH,2023-08-30,148.0,162.0,147.99,159.86,145.96,13.9,9.5232,138046.51,2156188.224
688256.SH,2023-08-31,154.0,163.19,152.7,158.8,159.86,-1.06,-0.6631,116574.81,1832641.35
688256.SH,2023-09-01,159.5,160.5,145.0,148.83,158.8,-9.97,-6.2783,104652.98,1581215.499
688256.SH,2023-09-04,148.73,148.88,143.0,148.88,148.83,0.05,0.0336,72064.64,1052482.003
688256.SH,2023-09-05,150.9,153.0,143.43,144.5,148.88,-4.38,-2.942,87145.19,1291178.291
688256.SH,2023-09-06,142.84,153.74,141.0,152.95,144.5,8.45,5.8478,114442.26,1697748.036
688256.SH,2023-09-07,148.98,148.98,138.51,138.88,152.95,-14.07,-9.1991,116776.0,1669119.812
688256.SH,2023-09-08,137.39,142.38,137.39,140.48,138.88,1.6,1.1521,79199.72,1114374.583
688256.SH,2023-09-11,140.25,144.99,137.81,141.09,140.48,0.61,0.4342,82869.76,1169730.222
688256.SH,2023-09-12,140.8,144.55,139.58,142.2,141.09,1.11,0.7867,65506.43,931325.437
688256.SH,2023-09-13,141.8,141.8,134.1,136.38,142.2,-5.82,-4.0928,72490.03,991747.883
688256.SH,2023-09-14,135.79,136.9,133.33,133.58,136.38,-2.8,-2.0531,43091.03,580164.513
688256.SH,2023-09-15,134.3,134.4,130.0,133.97,133.58,0.39,0.292,70883.6,936754.512
688256.SH,2023-09-18,131.48,133.75,128.32,129.2,133.97,-4.77,-3.5605,63448.84,828087.973
688256.SH,2023-09-19,129.0,129.78,126.3,126.79,129.2,-2.41,-1.8653,52930.42,674976.729
688256.SH,2023-09-20,126.78,128.36,123.0,123.3,126.79,-3.49,-2.7526,63860.55,798629.971
688256.SH,2023-09-21,122.27,127.5,122.0,123.8,123.3,0.5,0.4055,64719.75,810500.491
688256.SH,2023-09-22,124.67,132.5,123.01,130.49,123.8,6.69,5.4039,99387.37,1283800.363
688256.SH,2023-09-25,129.69,131.69,125.73,126.13,130.49,-4.36,-3.3413,66401.61,851611.543
688256.SH,2023-09-26,127.84,134.45,126.21,130.42,126.13,4.29,3.4013,94125.27,1235699.488
688256.SH,2023-09-27,128.13,130.58,126.34,126.8,130.42,-3.62,-2.7756,74434.95,952625.555
688256.SH,2023-09-28,127.05,130.41,123.19,123.95,126.8,-2.85,-2.2476,70010.07,880353.756
688256.SH,2023-10-09,123.26,132.27,121.95,126.03,123.95,2.08,1.6781,79263.84,1007613.067
688256.SH,2023-10-10,126.0,127.8,122.92,123.62,126.03,-2.41,-1.9122,53651.54,670751.135
688256.SH,2023-10-11,123.99,131.5,123.28,127.0,123.62,3.38,2.7342,92370.36,1178113.255
688256.SH,2023-10-12,126.74,129.5,122.59,123.9,127.0,-3.1,-2.4409,61692.88,769872.541
688256.SH,2023-10-13,122.04,124.43,119.0,121.04,123.9,-2.86,-2.3083,82642.77,1001244.628
688256.SH,2023-10-16,120.0,120.77,115.9,117.05,121.04,-3.99,-3.2964,78689.21,927443.733
688256.SH,2023-10-17,118.0,118.68,114.75,115.47,117.05,-1.58,-1.3499,59246.86,686742.133
688256.SH,2023-10-18,125.98,131.0,119.23,120.2,115.47,4.73,4.0963,171374.9,2137531.494
688256.SH,2023-10-19,119.0,144.24,119.0,144.24,120.2,24.04,20.0,209581.1,2888313.225
688256.SH,2023-10-20,144.0,147.0,131.58,135.55,144.24,-8.69,-6.0247,243677.78,3343333.516
688256.SH,2023-10-23,134.07,136.52,108.44,108.44,135.55,-27.11,-20.0,243066.31,2877265.078
688256.SH,2023-10-24,107.1,113.0,104.44,108.66,108.44,0.22,0.2029,169787.01,1844404.05
688256.SH,2023-10-25,111.02,121.0,111.02,112.68,108.66,4.02,3.6996,170675.92,1977777.312
688256.SH,2023-10-26,112.12,118.0,108.33,111.26,112.68,-1.42,-1.2602,127282.55,1428067.641
688256.SH,2023-10-27,110.07,112.96,107.91,109.16,111.26,-2.1,-1.8875,102966.73,1131982.053
688256.SH,2023-10-30,109.22,110.69,106.88,109.68,109.16,0.52,0.4764,102072.66,1111752.061
688256.SH,2023-10-31,109.41,109.76,106.1,107.23,109.68,-2.45,-2.2338,72738.81,780631.94
688256.SH,2023-11-01,106.88,112.87,105.5,108.0,107.23,0.77,0.7181,128417.67,1398508.721
688256.SH,2023-11-02,110.0,110.76,104.62,104.75,108.0,-3.25,-3.0093,82548.12,882502.404
688256.SH,2023-11-03,104.79,109.98,104.62,109.03,104.75,4.28,4.0859,106156.41,1146162.141
688256.SH,2023-11-06,110.9,117.76,110.84,116.77,109.03,7.74,7.099,150221.22,1733261.873
688256.SH,2023-11-07,116.39,126.49,115.5,122.82,116.77,6.05,5.1811,147472.88,1799866.505
688256.SH,2023-11-08,127.25,143.65,125.5,134.99,122.82,12.17,9.9088,211197.35,2820234.211
688256.SH,2023-11-09,132.04,144.44,132.04,132.52,134.99,-2.47,-1.8298,163858.76,2250511.511
688256.SH,2023-11-10,129.79,139.21,129.0,136.99,132.52,4.47,3.3731,160863.89,2172587.586
688256.SH,2023-11-13,139.01,139.63,132.6,135.19,136.99,-1.8,-1.314,132062.06,1783504.843
688256.SH,2023-11-14,134.48,155.4,132.3,153.02,135.19,17.83,13.1888,209151.13,3002182.005
688256.SH,2023-11-15,150.0,163.5,147.62,151.5,153.02,-1.52,-0.9933,231228.87,3556855.264
688256.SH,2023-11-16,150.01,157.6,148.01,151.95,151.5,0.45,0.297,153810.19,2349840.451
688256.SH,2023-11-17,152.6,154.33,145.09,153.7,151.95,1.75,1.1517,143012.68,2145862.191
688256.SH,2023-11-20,153.7,169.8,152.0,165.43,153.7,11.73,7.6318,189709.08,3038259.693
688256.SH,2023-11-21,163.21,167.5,155.0,155.0,165.43,-10.43,-6.3048,129255.76,2069587.477
688256.SH,2023-11-22,156.01,157.89,148.6,152.78,155.0,-2.22,-1.4323,125801.09,1921661.449
688256.SH,2023-11-23,151.93,153.23,145.38,152.03,152.78,-0.75,-0.4909,86217.69,1291457.682
688256.SH,2023-11-24,151.01,151.05,140.7,142.08,152.03,-9.95,-6.5448,122031.17,1764740.881
688256.SH,2023-11-27,139.51,146.55,139.0,144.01,142.08,1.93,1.3584,103941.95,1489674.333
688256.SH,2023-11-28,144.0,146.99,142.41,144.1,144.01,0.09,0.0625,76526.5,1105728.649
688256.SH,2023-11-29,143.03,146.97,142.4,142.8,144.1,-1.3,-0.9022,70903.83,1024742.618
688256.SH,2023-11-30,141.66,149.97,141.2,149.81,142.8,7.01,4.909,114339.57,1679681.753
688256.SH,2023-12-01,149.0,156.32,147.0,155.0,149.81,5.19,3.4644,123367.01,1882313.505
688256.SH,2023-12-04,160.99,166.0,157.7,157.82,155.0,2.82,1.8194,134826.65,2192673.15
688256.SH,2023-12-05,157.82,163.5,152.93,153.0,157.82,-4.82,-3.0541,105065.1,1655895.498
688256.SH,2023-12-06,152.0,160.5,148.94,157.51,153.0,4.51,2.9477,119643.57,1835139.831
688256.SH,2023-12-07,155.86,161.66,153.83,157.69,157.51,0.18,0.1143,117868.57,1864571.603
688256.SH,2023-12-08,159.98,172.58,159.35,169.42,157.69,11.73,7.4386,192010.02,3183505.355
688256.SH,2023-12-11,165.01,172.33,163.88,169.99,169.42,0.57,0.3364,109867.22,1849240.552
688256.SH,2023-12-12,168.0,168.22,153.18,154.0,169.99,-15.99,-9.4064,160191.71,2555590.405
688256.SH,2023-12-13,153.16,156.5,147.58,148.28,154.0,-5.72,-3.7143,110993.09,1674220.035
688256.SH,2023-12-14,149.4,154.4,148.0,148.85,148.28,0.57,0.3844,93933.92,1417600.018
688256.SH,2023-12-15,149.5,150.5,142.7,144.8,148.85,-4.05,-2.7209,71478.73,1040001.94
688256.SH,2023-12-18,143.5,147.85,142.05,145.45,144.8,0.65,0.4489,58769.64,854951.164
688256.SH,2023-12-19,143.66,151.44,143.15,148.78,145.45,3.33,2.2894,66609.38,982017.759
688256.SH,2023-12-20,149.5,150.88,142.68,142.89,148.78,-5.89,-3.9589,53984.95,785704.0
688256.SH,2023-12-21,142.0,149.86,139.86,146.2,142.89,3.31,2.3165,69980.55,1011548.415
688256.SH,2023-12-22,146.2,151.2,144.01,147.0,146.2,0.8,0.5472,73948.8,1090205.806
688256.SH,2023-12-25,144.95,147.25,121.0,136.2,147.0,-10.8,-7.3469,111384.63,1493921.834
688256.SH,2023-12-26,134.2,136.94,130.15,132.5,136.2,-3.7,-2.7166,72438.31,962743.14
688256.SH,2023-12-27,134.44,134.96,131.49,131.51,132.5,-0.99,-0.7472,47795.66,635522.174
688256.SH,2023-12-28,133.0,135.67,130.95,132.11,131.51,0.6,0.4562,65802.35,875027.474
688256.SH,2023-12-29,132.11,136.5,131.0,134.96,132.11,2.85,2.1573,70684.83,948223.46
688256.SH,2024-01-02,136.0,138.5,130.5,134.9,134.96,-0.06,-0.0445,64398.2,869851.05
688256.SH,2024-01-03,134.0,134.6,126.92,127.96,134.9,-6.94,-5.1446,82251.67,1064202.661
