交易日期,交易类型,成交价,成交股数,成交金额,佣金,印花税,总费用
2024-01-05,初始建仓,28.29,8800,248952.0,74.69,0.0,74.69
2024-01-15,加仓(2),28.77,7400,212898.0,63.87,0.0,63.87
2024-01-16,加仓(3),29.13,5300,154389.0,46.32,0.0,46.32
2024-01-18,加仓(4),29.58,3400,100572.0,30.17,0.0,30.17
2024-03-19,信号卖出,30.8,24900,766920.0,230.08,766.92,997.0
2024-04-17,初始建仓,33.3,8900,296370.0,88.91,0.0,88.91
2024-04-18,加仓(2),33.65,6100,205265.0,61.58,0.0,61.58
2024-04-25,加仓(3),34.4,4500,154800.0,46.44,0.0,46.44
2024-04-29,加仓(4),34.88,3000,104640.0,31.39,0.0,31.39
2024-05-29,信号卖出,34.57,22500,777825.0,233.35,777.82,1011.17
2024-07-02,初始建仓,35.08,8800,308704.0,92.61,0.0,92.61
2024-07-11,止损卖出,32.9,8800,289520.0,86.86,289.52,376.38
2024-08-23,初始建仓,33.7,9000,303300.0,90.99,0.0,90.99
2024-08-30,止损卖出,32.15,9000,289350.0,86.8,289.35,376.16
2024-09-25,初始建仓,34.15,7000,239050.0,71.71,0.0,71.71
2024-09-26,加仓(2),35.38,5000,176900.0,53.07,0.0,53.07
2024-09-30,加仓(3),37.61,3300,124113.0,37.23,0.0,37.23
2024-10-08,加仓(4),40.0,2300,92000.0,27.6,0.0,27.6
2024-10-09,止损卖出,37.01,17600,651376.0,195.41,651.38,846.79
2024-12-24,初始建仓,39.22,7100,278462.0,83.54,0.0,83.54
2024-12-30,加仓(2),39.62,5100,202062.0,60.62,0.0,60.62
2025-01-15,加仓(3),40.64,3800,154432.0,46.33,0.0,46.33
2025-02-12,加仓(4),41.62,2500,104050.0,31.21,0.0,31.21
2025-03-26,信号卖出,42.66,18500,789210.0,236.76,789.21,1025.97
2025-05-09,初始建仓,43.48,7000,304360.0,91.31,0.0,91.31
2025-05-13,加仓(2),44.56,4900,218344.0,65.5,0.0,65.5
2025-05-29,信号卖出,43.47,11900,517293.0,155.19,517.29,672.48
2025-06-16,初始建仓,45.78,8900,407442.0,122.23,0.0,122.23
2025-06-23,加仓(2),46.25,5900,272875.0,81.86,0.0,81.86
2025-06-24,加仓(3),46.75,3400,158950.0,47.68,0.0,47.68
2025-06-25,加仓(4),47.5,2000,95000.0,28.5,0.0,28.5
2025-06-27,止损卖出,46.22,20200,933644.0,280.09,933.64,1213.74
2025-07-10,初始建仓,48.24,6900,332856.0,99.86,0.0,99.86
2025-07-11,止损卖出,45.64,6900,314916.0,94.47,314.92,409.39
2025-10-23,初始建仓,42.24,7100,299904.0,89.97,0.0,89.97
2025-10-29,信号卖出,40.77,7100,289467.0,86.84,289.47,376.31
2025-11-04,初始建仓,43.01,7200,309672.0,92.9,0.0,92.9
2025-12-01,加仓(2),43.44,5700,247608.0,74.28,0.0,74.28
2025-12-10,止损卖出,41.7,12900,537930.0,161.38,537.93,699.31
2026-03-17,初始建仓,40.12,9800,393176.0,117.95,0.0,117.95
2026-03-23,止损卖出,38.68,9800,379064.0,113.72,379.06,492.78
2026-06-02,初始建仓,38.8,12700,492760.0,147.83,0.0,147.83
2026-06-12,加仓(2),39.34,5200,204568.0,61.37,0.0,61.37
2026-06-17,止损卖出,38.23,17900,684317.0,205.3,684.32,889.61
